,journal_book,counts
0,Journal of Geophysical Research,2476
1,Geophysical Research Letters,2434
2,Journal of Climate,1241
3,Science,1222
4,Atmospheric Chemistry and Physics,1222
5,Nature,1070
6,Journal of Geophysical Research: Atmospheres,1009
7,Earth and Planetary Science Letters,827
8,Journal of Geophysical Research: Space Physics,792
9,Journal of the Atmospheric Sciences,734
10,Geochimica et Cosmochimica Acta,611
11,Journal of Geophysical Research: Solid Earth,602
12,Water Resources Research,601
13,Monthly Weather Review,488
14,Geophysical Journal International,486
15,Proceedings of the National Academy of Sciences,469
16,Bulletin of the American Meteorological Society,452
17,Geology,447
18,Environmental Science & Technology,425
19,Atmospheric Environment,368
20,The Astrophysical Journal,353
21,Remote Sensing of Environment,344
22,Nature Geoscience,329
23,Climate Dynamics,317
24,Icarus,306
25,Space Science Reviews,294
26,Quarterly Journal of the Royal Meteorological Society,281
27,Quaternary Science Reviews,259
28,Journal of Glaciology,235
29,Reviews of Geophysics,230
30,Geological Society of America Bulletin,227
31,Chemical Geology,222
32,Journal of Hydrology,215
33,Journal of Geophysical Research: Oceans,212
34,Atmospheric Measurement Techniques,209
35,Journal of Hydrometeorology,208
36,Global Change Biology,198
37,Global Biogeochemical Cycles,195
38,Journal of Atmospheric and Oceanic Technology,195
39,"Geochemistry, Geophysics, Geosystems",191
40,Tectonophysics,184
41,GEOPHYSICS,182
42,Journal of Physical Oceanography,177
43,IEEE Transactions on Geoscience and Remote Sensing,171
44,Bulletin of the Seismological Society of America,168
45,Climatic Change,161
46,Hydrological Processes,158
47,Journal of Geophysical Research: Planets,149
48,Contributions to Mineralogy and Petrology,142
49,Agricultural and Forest Meteorology,142
50,Tectonics,140
51,The Cryosphere,136
52,Physics of the Earth and Planetary Interiors,134
53,Physical Review Letters,133
54,Meteoritics & Planetary Science,133
55,Annales Geophysicae,132
56,"Palaeogeography, Palaeoclimatology, Palaeoecology",131
57,Ecology,128
58,Oecologia,127
59,Biogeosciences,127
60,Aerosol Science and Technology,123
61,Boundary-Layer Meteorology,120
62,Geomorphology,119
63,Journal of Atmospheric and Solar-Terrestrial Physics,116
64,Journal of Volcanology and Geothermal Research,116
65,International Journal of Climatology,115
66,Space Weather,114
67,Journal of Applied Meteorology and Climatology,114
68,Annals of Glaciology,113
69,Limnology and Oceanography,113
70,Journal of Fluid Mechanics,111
71,Nature Climate Change,110
72,Journal of Applied Meteorology,109
73,Water Research,108
74,Environmental Research Letters,106
75,International Journal of Remote Sensing,106
76,Geoscientific Model Development,106
77,Lithos,105
78,Planetary and Space Science,104
79,Earth Surface Processes and Landforms,103
80,Annual Review of Earth and Planetary Sciences,103
81,Marine Ecology Progress Series,102
82,New Phytologist,96
83,Paleoceanography,91
84,Journal of Petrology,90
85,Journal of Geophysical Research: Earth Surface,89
86,Advances in Space Research,89
87,Soil Biology and Biochemistry,87
88,The Holocene,85
89,Advances in Water Resources,84
90,Quaternary Research,84
91,Soil Science Society of America Journal,83
92,Biogeochemistry,82
93,Progress in Oceanography,81
94,Applied and Environmental Microbiology,80
95,Precambrian Research,80
96,Hydrology and Earth System Sciences,80
97,Global and Planetary Change,77
98,Earth-Science Reviews,77
99,PLoS ONE,75
100,Nature Communications,74
101,Deep Sea Research Part II: Topical Studies in Oceanography,73
102,Ecological Applications,72
103,The Journal of Geology,72
104,Organic Geochemistry,71
105,Applied Optics,70
106,The Journal of Physical Chemistry A,69
107,Earthquake Engineering & Structural Dynamics,68
108,Journal of Advances in Modeling Earth Systems,67
109,Forest Ecology and Management,66
110,Marine Geology,65
111,Journal of Structural Geology,64
112,Remote Sensing,64
113,Journal of Paleolimnology,63
114,Journal of Geotechnical and Geoenvironmental Engineering,63
115,Weather and Forecasting,63
116,American Journal of Science,62
117,Journal of Biogeography,61
118,Reviews in Mineralogy and Geochemistry,61
119,"Geological Society, London, Special Publications",61
120,Continental Shelf Research,60
121,Journal of Quaternary Science,60
122,American Mineralogist,59
123,Physics of Plasmas,58
124,Ecology Letters,57
125,Solar Physics,57
126,Radio Science,57
127,"Philosophical Transactions of the Royal Society A: Mathematical, Physical and Engineering Sciences",57
128,Geoderma,56
129,Tellus B,56
130,Journal of Geophysical Research: Biogeosciences,56
131,Journal of Asian Earth Sciences,54
132,Canadian Journal of Earth Sciences,51
133,Earthquake Spectra,51
134,Global Ecology and Biogeography,51
135,BioScience,51
136,Permafrost and Periglacial Processes,49
137,Ecosystems,49
138,Trends in Ecology & Evolution,49
139,Scientific Reports,48
140,Acta Crystallographica Section D Biological Crystallography,48
141,Molecular Ecology,48
142,Seismological Research Letters,48
143,Computers & Geosciences,47
144,Journal of Quantitative Spectroscopy and Radiative Transfer,47
145,Physical Review D,47
146,Astronomy & Astrophysics,46
147,Marine and Petroleum Geology,46
148,Astrobiology,46
149,Climate of the Past,45
150,Ocean Modelling,45
151,Gondwana Research,44
152,Quaternary Geochronology,44
153,The American Naturalist,44
154,The Journal of Chemical Physics,44
155,Plant and Soil,44
156,Physics of Fluids,43
157,Journal of Aerosol Science,43
158,Deep Sea Research Part I: Oceanographic Research Papers,43
159,Radiocarbon,43
160,Analytical Chemistry,43
161,Sedimentology,43
162,Journal of Structural Engineering,41
163,Sedimentary Geology,41
164,Journal of Computational Physics,41
165,Molecular Phylogenetics and Evolution,41
166,Journal of Applied Crystallography,40
167,Radiation Measurements,40
168,Marine Chemistry,39
169,Journal of the Air & Waste Management Association,39
170,Physical Chemistry Chemical Physics,39
171,Journal of Marine Systems,38
172,Science of The Total Environment,38
173,Rapid Communications in Mass Spectrometry,38
174,Marine Biology,38
175,Journal of Archaeological Science,38
176,"Eos, Transactions American Geophysical Union",38
177,New Zealand Journal of Marine and Freshwater Research,38
178,Journal of Atmospheric Chemistry,37
179,Economic Geology,37
180,Soil Dynamics and Earthquake Engineering,37
181,"Plant, Cell & Environment",37
182,Annual Review of Fluid Mechanics,36
183,Chemosphere,36
184,Ecological Monographs,35
185,Quaternary International,35
186,Progress in Physical Geography: Earth and Environment,35
187,"Plant, Cell and Environment",35
188,New Zealand Journal of Geology and Geophysics,34
189,"Estuarine, Coastal and Shelf Science",34
190,"Earth, Planets and Space",33
191,Journal of Sedimentary Research,33
192,Surveys in Geophysics,33
193,Engineering Geology,33
194,Physical Review E,32
195,Journal of the Geological Society,32
196,Hydrogeology Journal,32
197,Astroparticle Physics,32
198,Freshwater Biology,31
199,Hydrobiologia,31
200,Journal of the Meteorological Society of Japan. Ser. II,31
201,Philosophical Transactions of the Royal Society B: Biological Sciences,31
202,Photogrammetric Engineering & Remote Sensing,31
203,Tree Physiology,30
204,IEEE Geoscience and Remote Sensing Letters,30
205,Nuclear Instruments and Methods in Physics Research Section B: Beam Interactions with Materials and Atoms,30
206,Journal of Arid Environments,29
207,Arctic and Alpine Research,29
208,Ecological Modelling,29
209,"Arctic, Antarctic, and Alpine Research",28
210,Journal of Contaminant Hydrology,28
211,Conservation Biology,28
212,PALAIOS,28
213,Bulletin of Volcanology,28
214,Cold Regions Science and Technology,28
215,Plant Physiology,28
216,Atmospheric Chemistry and Physics Discussions,28
217,Geosphere,28
218,IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,27
219,Pure and Applied Geophysics,27
220,Applied Geochemistry,27
221,Marine Micropaleontology,26
222,Ground Water,26
223,International Journal of Wildland Fire,26
224,Atmospheric Research,26
225,Engineering Structures,26
226,Chemical Reviews,26
227,Ecohydrology,26
228,Boreas,25
229,Journal of Water Resources Planning and Management,25
230,Journal of Marine Research,25
231,Oceanography,25
232,Journal of Plankton Research,25
233,Monthly Notices of the Royal Astronomical Society,25
234,Annual Review of Ecology and Systematics,25
235,Oikos,25
236,Review of Palaeobotany and Palynology,25
237,Environmental Modelling & Software,24
238,"Philosophical Transactions of the Royal Society of London. Series A, Mathematical and Physical Sciences",24
239,Proceedings of the Royal Society B: Biological Sciences,23
240,International Geology Review,23
241,The Leading Edge,23
242,Environmental Pollution,23
243,Vadose Zone Journal,23
244,AAPG Bulletin,23
245,Evolution,23
246,Journal of Metamorphic Geology,23
247,CATENA,23
248,Physical Review B,23
249,The Journal of Physical Chemistry,23
